"","occupation","code","education","work_experience","job_training","year"
"2144","Plasterers and stucco masons","47-2161","Less than high school","None","Long-term on-the-job training","2012"
"2145","Reinforcing iron and rebar workers","47-2171","High school diploma or equivalent","None","Apprenticeship","2012"
"2146","Roofers","47-2181","Less than high school","None","Moderate-term on-the-job training","2012"
"2147","Sheet metal workers","47-2211","High school diploma or equivalent","None","Apprenticeship","2012"
"2148","Structural iron and steel workers","47-2221","High school diploma or equivalent","None","Apprenticeship","2012"
"2149","Solar photovoltaic installers","47-2231","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"2150","Helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters","47-3011","Less than high school","None","Short-term on-the-job training","2012"
"2151","Helpers--carpenters","47-3012","Less than high school","None","Short-term on-the-job training","2012"
"2152","Helpers--electricians","47-3013","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"2153","Helpers--painters, paperhangers, plasterers, and stucco masons","47-3014","Less than high school","None","Short-term on-the-job training","2012"
"2154","Helpers--pipelayers, plumbers, pipefitters, and steamfitters","47-3015","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"2155","Helpers--roofers","47-3016","Less than high school","None","Short-term on-the-job training","2012"
"2156","Helpers, construction trades, all other","47-3019","Less than high school","None","Short-term on-the-job training","2012"
"2157","Construction and building inspectors","47-4011","High school diploma or equivalent","5 years or more","Moderate-term on-the-job training","2012"
"2158","Elevator installers and repairers","47-4021","High school diploma or equivalent","None","Apprenticeship","2012"
"2159","Fence erectors","47-4031","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"2160","Hazardous materials removal workers","47-4041","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"2161","Highway maintenance workers","47-4051","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"2162","Rail-track laying and maintenance equipment operators","47-4061","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"2163","Septic tank servicers and sewer pipe cleaners","47-4071","Less than high school","None","Moderate-term on-the-job training","2012"
"2164","Segmental pavers","47-4091","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"2165","Construction and related workers, all other","47-4099","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"2166","Derrick operators, oil and gas","47-5011","Less than high school","None","Short-term on-the-job training","2012"
"2167","Rotary drill operators, oil and gas","47-5012","Less than high school","None","Moderate-term on-the-job training","2012"
"2168","Service unit operators, oil, gas, and mining","47-5013","Less than high school","None","Moderate-term on-the-job training","2012"
"2169","Earth drillers, except oil and gas","47-5021","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"2170","Explosives workers, ordnance handling experts, and blasters","47-5031","High school diploma or equivalent","Less than 5 years","Long-term on-the-job training","2012"
"2171","Continuous mining machine operators","47-5041","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"2172","Mine cutting and channeling machine operators","47-5042","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"2173","Mining machine operators, all other","47-5049","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"2174","Rock splitters, quarry","47-5051","High school diploma or equivalent","None","Short-term on-the-job training","2012"
"2175","Roof bolters, mining","47-5061","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"2176","Roustabouts, oil and gas","47-5071","Less than high school","None","Moderate-term on-the-job training","2012"
"2177","Helpers--extraction workers","47-5081","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"2178","Extraction workers, all other","47-5099","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"2179","First-line supervisors of mechanics, installers, and repairers","49-1011","High school diploma or equivalent","Less than 5 years","None","2012"
"2180","Computer, automated teller, and office machine repairers","49-2011","Some college, no degree","None","None","2012"
"2181","Radio, cellular, and tower equipment installers and repairs","49-2021","Associate's degree","None","Moderate-term on-the-job training","2012"
"2182","Telecommunications equipment installers and repairers, except line installers","49-2022","Postsecondary non-degree award","None","Moderate-term on-the-job training","2012"
"2183","Avionics technicians","49-2091","Associate's degree","None","None","2012"
"2184","Electric motor, power tool, and related repairers","49-2092","Postsecondary non-degree award","None","Long-term on-the-job training","2012"
"2185","Electrical and electronics installers and repairers, transportation equipment","49-2093","Postsecondary non-degree award","None","Long-term on-the-job training","2012"
"2186","Electrical and electronics repairers, commercial and industrial equipment","49-2094","Postsecondary non-degree award","None","Long-term on-the-job training","2012"
"2187","Electrical and electronics repairers, powerhouse, substation, and relay","49-2095","Postsecondary non-degree award","None","Long-term on-the-job training","2012"
"2188","Electronic equipment installers and repairers, motor vehicles","49-2096","Postsecondary non-degree award","None","Short-term on-the-job training","2012"
"2189","Electronic home entertainment equipment installers and repairers","49-2097","Postsecondary non-degree award","None","None","2012"
"2190","Security and fire alarm systems installers","49-2098","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"2191","Aircraft mechanics and service technicians","49-3011","Postsecondary non-degree award","None","None","2012"
"2192","Automotive body and related repairers","49-3021","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"2193","Automotive glass installers and repairers","49-3022","High school diploma or equivalent","None","Moderate-term on-the-job training","2012"
"2194","Automotive service technicians and mechanics","49-3023","High school diploma or equivalent","None","Long-term on-the-job training","2012"
"2195","Bus and truck mechanics and diesel engine specialists","49-3031","High school diploma or equivalent","None","Long-term on-the-job training","2012"
"2196","Farm equipment mechanics and service technicians","49-3041","High school diploma or equivalent","None","Long-term on-the-job training","2012"
"2197","Mobile heavy equipment mechanics, except engines","49-3042","High school diploma or equivalent","None","Long-term on-the-job training","2012"
