"","employment","code","less hs","high school","some college, no degree","associate","bachelor","master","doctor/professional","year"
"2170","Insurance claims and policy processing clerks","43-9041",1.7,28,34.9,11.9,19.5,3.1,0.9,"2010"
"2171","Mail clerks and mail machine operators, except postal service","43-9051",10.6,41,28.6,8.3,9.4,1.7,0.4,"2010"
"2172","Office clerks, general","43-9061",3.5,31.2,33.6,12.1,15.8,3.1,0.7,"2010"
"2173","Office machine operators, except computer","43-9071",7.1,38.2,30.2,10.8,11.6,1.9,0.1,"2010"
"2174","Proofreaders and copy markers","43-9081",0.6,15.4,18.6,8.8,40.9,13.4,2.4,"2010"
"2175","Statistical assistants","43-9111",1.5,19.6,34.5,11.7,25.8,6,1,"2010"
"2176","Office and administrative support workers, all other","43-9199",2.4,22.7,31.9,11.3,24.3,6.5,0.8,"2010"
"2177","First-line supervisors of farming, fishing, and forestry workers","45-1011",30,30.2,16,5.8,14.5,2.5,0.9,"2010"
"2178","Agricultural inspectors","45-2011",10.6,20.4,22.3,10.7,29.8,2.7,3.4,"2010"
"2179","Animal breeders","45-2021",57.4,25.3,9.1,3.4,4.1,0.6,0.2,"2010"
"2180","Graders and sorters, agricultural products","45-2041",59,25.3,9.3,2,3.7,0.4,0.2,"2010"
"2181","Agricultural equipment operators","45-2091",57.4,25.3,9.1,3.4,4.1,0.6,0.2,"2010"
"2182","Farmworkers and laborers, crop, nursery, and greenhouse","45-2092",57.4,25.3,9.1,3.4,4.1,0.6,0.2,"2010"
"2183","Farmworkers, farm, ranch, and aquacultural animals","45-2093",57.4,25.3,9.1,3.4,4.1,0.6,0.2,"2010"
"2184","Agricultural workers, all other","45-2099",57.4,25.3,9.1,3.4,4.1,0.6,0.2,"2010"
"2185","Fishers and related fishing workers","45-3011",25.6,40.8,16.5,6.5,9,1.4,0.2,"2010"
"2186","Hunters and trappers","45-3021",25.6,40.8,16.5,6.5,9,1.4,0.2,"2010"
"2187","Forest and conservation workers","45-4011",24.7,30.8,17.3,10.2,12.6,3.2,1.3,"2010"
"2188","Fallers","45-4021",35.2,46.5,11.3,3.8,2.8,0.3,0.1,"2010"
"2189","Logging equipment operators","45-4022",35.2,46.5,11.3,3.8,2.8,0.3,0.1,"2010"
"2190","Log graders and scalers","45-4023",35.2,46.5,11.3,3.8,2.8,0.3,0.1,"2010"
"2191","Logging workers, all other","45-4029",35.2,46.5,11.3,3.8,2.8,0.3,0.1,"2010"
"2192","First-line supervisors of construction trades and extraction workers","47-1011",13.6,42.6,25.6,7,9.7,1.3,0.3,"2010"
"2193","Boilermakers","47-2011",9,51.4,26.3,9.9,2.8,0,0.6,"2010"
"2194","Brickmasons and blockmasons","47-2021",33.7,45.2,14.5,2.8,3.6,0.3,0,"2010"
"2195","Stonemasons","47-2022",33.7,45.2,14.5,2.8,3.6,0.3,0,"2010"
"2196","Carpenters","47-2031",23.3,43.2,20.8,5.5,6.2,0.8,0.2,"2010"
"2197","Carpet installers","47-2041",34.7,41.3,16,2.8,4.6,0.4,0.2,"2010"
"2198","Floor layers, except carpet, wood, and hard tiles","47-2042",34.7,41.3,16,2.8,4.6,0.4,0.2,"2010"
"2199","Floor sanders and finishers","47-2043",34.7,41.3,16,2.8,4.6,0.4,0.2,"2010"
"2200","Tile and marble setters","47-2044",34.7,41.3,16,2.8,4.6,0.4,0.2,"2010"
"2201","Cement masons and concrete finishers","47-2051",37.7,46.8,11.1,1.8,2,0.4,0.1,"2010"
"2202","Terrazzo workers and finishers","47-2053",37.7,46.8,11.1,1.8,2,0.4,0.1,"2010"
"2203","Construction laborers","47-2061",33.1,40.6,16.8,4,4.5,0.7,0.2,"2010"
"2204","Paving, surfacing, and tamping equipment operators","47-2071",39.3,43.1,14.1,2.1,1.4,0,0,"2010"
"2205","Pile-driver operators","47-2072",21.2,53.4,18,4,3,0.4,0.1,"2010"
"2206","Operating engineers and other construction equipment operators","47-2073",21.2,53.4,18,4,3,0.4,0.1,"2010"
"2207","Drywall and ceiling tile installers","47-2081",44.6,40.4,10.9,2,1.9,0.1,0.1,"2010"
"2208","Tapers","47-2082",44.6,40.4,10.9,2,1.9,0.1,0.1,"2010"
"2209","Electricians","47-2111",7.2,39.5,32.5,13.6,6.3,0.8,0.1,"2010"
"2210","Glaziers","47-2121",23.1,46.2,21.9,4.1,4.7,0,0,"2010"
"2211","Insulation workers, floor, ceiling, and wall","47-2131",33.6,40.1,19.8,3.3,2.2,1,0,"2010"
"2212","Insulation workers, mechanical","47-2132",33.6,40.1,19.8,3.3,2.2,1,0,"2010"
"2213","Painters, construction and maintenance","47-2141",34.1,38.5,16.6,3.6,6.2,0.7,0.2,"2010"
"2214","Paperhangers","47-2142",11.6,45.7,28.5,6.8,6.3,1.1,0,"2010"
"2215","Pipelayers","47-2151",16.8,46.2,25.7,6.9,3.6,0.6,0.1,"2010"
"2216","Plumbers, pipefitters, and steamfitters","47-2152",16.8,46.2,25.7,6.9,3.6,0.6,0.1,"2010"
"2217","Plasterers and stucco masons","47-2161",50,33.3,10.8,3.5,2.1,0,0.2,"2010"
"2218","Reinforcing iron and rebar workers","47-2171",26,46,20.4,3.5,2.5,1.6,0,"2010"
"2219","Roofers","47-2181",45.8,36.9,11.9,2.2,2.7,0.4,0.1,"2010"
"2220","Sheet metal workers","47-2211",16.5,47.3,25.7,7.1,3.2,0.2,0,"2010"
"2221","Structural iron and steel workers","47-2221",18.5,47.3,25.1,5.3,3.4,0.2,0.1,"2010"
"2222","Solar photovoltaic installers","47-2231",22,41.2,24.1,4.1,7.4,1.1,0.2,"2010"
"2223","Helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters","47-3011",39.8,39.1,15.4,2.5,2.9,0.4,0,"2010"
"2224","Helpers--carpenters","47-3012",39.8,39.1,15.4,2.5,2.9,0.4,0,"2010"
"2225","Helpers--electricians","47-3013",39.8,39.1,15.4,2.5,2.9,0.4,0,"2010"
"2226","Helpers--painters, paperhangers, plasterers, and stucco masons","47-3014",39.8,39.1,15.4,2.5,2.9,0.4,0,"2010"
"2227","Helpers--pipelayers, plumbers, pipefitters, and steamfitters","47-3015",39.8,39.1,15.4,2.5,2.9,0.4,0,"2010"
"2228","Helpers--roofers","47-3016",39.8,39.1,15.4,2.5,2.9,0.4,0,"2010"
"2229","Helpers, construction trades, all other","47-3019",39.8,39.1,15.4,2.5,2.9,0.4,0,"2010"
"2230","Construction and building inspectors","47-4011",2,26.4,32.4,12.5,21.4,4.7,0.6,"2010"
"2231","Elevator installers and repairers","47-4021",3.4,46.2,33.4,11.8,5.2,0,0,"2010"
"2232","Fence erectors","47-4031",36.8,36.6,17.8,3.7,4.3,0.8,0,"2010"
"2233","Hazardous materials removal workers","47-4041",21.5,36.7,22.5,5.8,10.5,2.2,0.7,"2010"
"2234","Highway maintenance workers","47-4051",15.1,54.8,22.4,4.7,2.7,0.2,0,"2010"
"2235","Rail-track laying and maintenance equipment operators","47-4061",10.9,52.9,19,10.8,6.3,0,0,"2010"
"2236","Septic tank servicers and sewer pipe cleaners","47-4071",22,41.2,24.1,4.1,7.4,1.1,0.2,"2010"
"2237","Segmental pavers","47-4091",22,41.2,24.1,4.1,7.4,1.1,0.2,"2010"
"2238","Construction and related workers, all other","47-4099",22,41.2,24.1,4.1,7.4,1.1,0.2,"2010"
"2239","Derrick operators, oil and gas","47-5011",26.4,45.8,18.9,3.3,5.3,0.2,0.1,"2010"
"2240","Rotary drill operators, oil and gas","47-5012",26.4,45.8,18.9,3.3,5.3,0.2,0.1,"2010"
"2241","Service unit operators, oil, gas, and mining","47-5013",26.4,45.8,18.9,3.3,5.3,0.2,0.1,"2010"
"2242","Earth drillers, except oil and gas","47-5021",15.8,50.2,23.1,6.1,4.6,0.1,0.1,"2010"
"2243","Explosives workers, ordnance handling experts, and blasters","47-5031",7.1,41.4,26.7,12.5,10,1.7,0.5,"2010"
"2244","Continuous mining machine operators","47-5041",15.7,55.5,18.2,5.5,4.4,0.6,0,"2010"
"2245","Mine cutting and channeling machine operators","47-5042",15.7,55.5,18.2,5.5,4.4,0.6,0,"2010"
"2246","Mining machine operators, all other","47-5049",15.7,55.5,18.2,5.5,4.4,0.6,0,"2010"
"2247","Rock splitters, quarry","47-5051",22.4,50.9,19.3,4,3.2,0.1,0,"2010"
"2248","Roof bolters, mining","47-5061",22.4,50.9,19.3,4,3.2,0.1,0,"2010"
"2249","Roustabouts, oil and gas","47-5071",26.4,45.8,18.9,3.3,5.3,0.2,0.1,"2010"
"2250","Helpers--extraction workers","47-5081",22.4,50.9,19.3,4,3.2,0.1,0,"2010"
"2251","Extraction workers, all other","47-5099",22.4,50.9,19.3,4,3.2,0.1,0,"2010"
"2252","First-line supervisors of mechanics, installers, and repairers","49-1011",6.4,35.8,31.4,12.1,11.5,2.7,0.2,"2010"
"2253","Computer, automated teller, and office machine repairers","49-2011",2.2,19.1,33.1,20.1,21.5,3.6,0.5,"2010"
"2254","Radio, cellular, and tower equipment installers and repairs","49-2021",4,30.7,34.4,17.7,11.2,1.5,0.6,"2010"
"2255","Telecommunications equipment installers and repairers, except line installers","49-2022",4,30.7,34.4,17.7,11.2,1.5,0.6,"2010"
"2256","Avionics technicians","49-2091",1.8,26.1,36.7,21.9,9.4,3.3,0.7,"2010"
"2257","Electric motor, power tool, and related repairers","49-2092",9.3,36.9,30.9,15.5,6.1,0.9,0.3,"2010"
"2258","Electrical and electronics installers and repairers, transportation equipment","49-2093",2.5,26.7,34.7,24.7,10.5,0.7,0.2,"2010"
"2259","Electrical and electronics repairers, commercial and industrial equipment","49-2094",2.5,26.7,34.7,24.7,10.5,0.7,0.2,"2010"
"2260","Electrical and electronics repairers, powerhouse, substation, and relay","49-2095",2.5,26.7,34.7,24.7,10.5,0.7,0.2,"2010"
"2261","Electronic equipment installers and repairers, motor vehicles","49-2096",9.5,34.8,31.8,19,4.7,0,0.1,"2010"
"2262","Electronic home entertainment equipment installers and repairers","49-2097",9.5,32,36,13.2,7.9,1.3,0.1,"2010"
"2263","Security and fire alarm systems installers","49-2098",8,35.5,32.3,14.5,8.1,1.4,0.2,"2010"
"2264","Aircraft mechanics and service technicians","49-3011",2.4,27.6,38.9,20.7,9.2,0.8,0.5,"2010"
"2265","Automotive body and related repairers","49-3021",22,51.7,17,6.3,2.9,0.1,0,"2010"
"2266","Automotive glass installers and repairers","49-3022",19.4,50,19.9,6.8,3.8,0,0,"2010"
"2267","Automotive service technicians and mechanics","49-3023",19,43.9,22,11,3.4,0.5,0.1,"2010"
"2268","Bus and truck mechanics and diesel engine specialists","49-3031",14.5,48.9,23.3,10.1,2.9,0.3,0,"2010"
"2269","Farm equipment mechanics and service technicians","49-3041",14.3,48.2,24,9.8,3.5,0.2,0,"2010"
"2270","Mobile heavy equipment mechanics, except engines","49-3042",14.3,48.2,24,9.8,3.5,0.2,0,"2010"
"2271","Rail car repairers","49-3043",14.3,48.2,24,9.8,3.5,0.2,0,"2010"
"2272","Motorboat mechanics and service technicians","49-3051",14.7,46.9,26.1,8.2,4,0.1,0.1,"2010"
"2273","Motorcycle mechanics","49-3052",14.7,46.9,26.1,8.2,4,0.1,0.1,"2010"
"2274","Outdoor power equipment and other small engine mechanics","49-3053",14.7,46.9,26.1,8.2,4,0.1,0.1,"2010"
"2275","Bicycle repairers","49-3091",28.4,42.8,18.9,4.7,4.7,0.3,0.2,"2010"
"2276","Recreational vehicle service technicians","49-3092",28.4,42.8,18.9,4.7,4.7,0.3,0.2,"2010"
"2277","Tire repairers and changers","49-3093",28.4,42.8,18.9,4.7,4.7,0.3,0.2,"2010"
"2278","Mechanical door repairers","49-9011",5.5,47.3,30.9,11,4.9,0.5,0,"2010"
"2279","Control and valve installers and repairers, except mechanical door","49-9012",5.5,47.3,30.9,11,4.9,0.5,0,"2010"
"2280","Heating, air conditioning, and refrigeration mechanics and installers","49-9021",10.6,42.6,29.8,12.9,3.5,0.5,0.1,"2010"
"2281","Home appliance repairers","49-9031",14.2,45,24.9,8,6.3,1.4,0.1,"2010"
"2282","Industrial machinery mechanics","49-9041",10.9,42.6,28.6,12.3,5.1,0.5,0.1,"2010"
"2283","Maintenance workers, machinery","49-9043",12.9,44.4,25,13.5,3.9,0.1,0.2,"2010"
"2284","Millwrights","49-9044",7.7,48.1,31.2,9.6,3.2,0.1,0.1,"2010"
"2285","Refractory materials repairers, except brickmasons","49-9045",10.9,42.6,28.6,12.3,5.1,0.5,0.1,"2010"
"2286","Electrical power-line installers and repairers","49-9051",5.7,44.9,32.1,11.5,5.1,0.4,0.4,"2010"
"2287","Telecommunications line installers and repairers","49-9052",6,37.8,34.3,11.8,9.3,0.7,0.1,"2010"
"2288","Camera and photographic equipment repairers","49-9061",4.6,22.3,29.4,24,16.4,2.7,0.6,"2010"
"2289","Medical equipment repairers","49-9062",4.6,22.3,29.4,24,16.4,2.7,0.6,"2010"
"2290","Musical instrument repairers and tuners","49-9063",4.6,22.3,29.4,24,16.4,2.7,0.6,"2010"
"2291","Watch repairers","49-9064",4.6,22.3,29.4,24,16.4,2.7,0.6,"2010"
"2292","Precision instrument and equipment repairers, all other","49-9069",4.6,22.3,29.4,24,16.4,2.7,0.6,"2010"
"2293","Maintenance and repair workers, general","49-9071",14,44,25.4,10.5,5,0.8,0.1,"2010"
"2294","Wind turbine service technicians","49-9081",14.2,38.5,26.8,10.3,8.4,1.6,0.3,"2010"
"2295","Coin, vending, and amusement machine servicers and repairers","49-9091",10.4,43.2,26.2,9.5,10,0.4,0.4,"2010"
"2296","Commercial divers","49-9092",14.2,38.5,26.8,10.3,8.4,1.6,0.3,"2010"
"2297","Fabric menders, except garment","49-9093",14.2,38.5,26.8,10.3,8.4,1.6,0.3,"2010"
"2298","Locksmiths and safe repairers","49-9094",9,47.1,30,5.6,7,1.1,0.2,"2010"
"2299","Manufactured building and mobile home installers","49-9095",39.1,40.1,14.6,2.6,3.5,0,0,"2010"
"2300","Riggers","49-9096",24,41.8,26.8,3.9,3.6,0,0,"2010"
"2301","Signal and track switch repairers","49-9097",14.2,38.5,26.8,10.3,8.4,1.6,0.3,"2010"
"2302","Helpers--installation, maintenance, and repair workers","49-9098",33.6,41.5,17.3,3.8,2.8,0.7,0.2,"2010"
"2303","Installation, maintenance, and repair workers, all other","49-9099",14.2,38.5,26.8,10.3,8.4,1.6,0.3,"2010"
"2304","First-line supervisors of production and operating workers","51-1011",10.1,39.1,26.7,7.7,13,2.9,0.5,"2010"
"2305","Aircraft structure, surfaces, rigging, and systems assemblers","51-2011",15.8,45.1,23.8,8.2,5.6,1.5,0,"2010"
"2306","Coil winders, tapers, and finishers","51-2021",21.4,44.7,21.9,7,3.9,0.9,0.2,"2010"
"2307","Electrical and electronic equipment assemblers","51-2022",21.4,44.7,21.9,7,3.9,0.9,0.2,"2010"
"2308","Electromechanical equipment assemblers","51-2023",21.4,44.7,21.9,7,3.9,0.9,0.2,"2010"
"2309","Engine and other machine assemblers","51-2031",12.4,48.3,24.4,10.8,4,0,0,"2010"
"2310","Structural metal fabricators and fitters","51-2041",12.2,49.8,27.4,6.1,4.1,0.4,0,"2010"
"2311","Fiberglass laminators and fabricators","51-2091",19.7,48.3,20.8,5.9,4.7,0.4,0.2,"2010"
"2312","Team assemblers","51-2092",19.7,48.3,20.8,5.9,4.7,0.4,0.2,"2010"
"2313","Timing device assemblers and adjusters","51-2093",19.7,48.3,20.8,5.9,4.7,0.4,0.2,"2010"
"2314","Assemblers and fabricators, all other","51-2099",19.7,48.3,20.8,5.9,4.7,0.4,0.2,"2010"
"2315","Bakers","51-3011",27.4,39.6,18.8,6.1,6.8,1,0.3,"2010"
"2316","Butchers and meat cutters","51-3021",35.2,42.9,14.6,3.8,3,0.4,0.1,"2010"
"2317","Meat, poultry, and fish cutters and trimmers","51-3022",35.2,42.9,14.6,3.8,3,0.4,0.1,"2010"
"2318","Slaughterers and meat packers","51-3023",35.2,42.9,14.6,3.8,3,0.4,0.1,"2010"
"2319","Food and tobacco roasting, baking, and drying machine operators and tenders","51-3091",23.5,45.8,19,4.1,6.1,1.5,0,"2010"
"2320","Food batchmakers","51-3092",24.7,41.6,20.2,7.7,5.4,0.3,0.1,"2010"
"2321","Food cooking machine operators and tenders","51-3093",30.4,49.6,16.5,0.4,2.8,0.3,0,"2010"
"2322","Food processing workers, all other","51-3099",33.2,41.3,16.2,5,3.6,0.6,0.1,"2010"
"2323","Computer-controlled machine tool operators, metal and plastic","51-4011",6.1,44.7,31.4,11,5.2,1.6,0,"2010"
"2324","Computer numerically controlled machine tool programmers, metal and plastic","51-4012",6.1,44.7,31.4,11,5.2,1.6,0,"2010"
"2325","Extruding and drawing machine setters, operators, and tenders, metal and plastic","51-4021",15.1,50.1,24.3,6.7,3.8,0,0,"2010"
"2326","Forging machine setters, operators, and tenders, metal and plastic","51-4022",14.2,53.5,21.7,6.5,4,0,0,"2010"
"2327","Rolling machine setters, operators, and tenders, metal and plastic","51-4023",18,56.5,20.2,3.2,1.4,0.8,0,"2010"
"2328","Cutting, punching, and press machine setters, operators, and tenders, metal and plastic","51-4031",23.2,52.9,17.6,4.1,2.1,0.1,0,"2010"
"2329","Drilling and boring machine tool setters, operators, and tenders, metal and plastic","51-4032",10.6,60.4,16.8,10.2,2,0,0,"2010"
"2330","Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic","51-4033",25.9,49.2,17,4.7,3,0.3,0,"2010"
"2331","Lathe and turning machine tool setters, operators, and tenders, metal and plastic","51-4034",14.8,53.7,20.4,6.4,4,0.6,0,"2010"
"2332","Milling and planing machine setters, operators, and tenders, metal and plastic","51-4035",21.3,49.5,19.9,5.2,3.6,0.3,0.1,"2010"
"2333","Machinists","51-4041",10.1,46.1,30.1,10.4,2.7,0.5,0.1,"2010"
"2334","Metal-refining furnace operators and tenders","51-4051",14.2,54.5,21.7,5.6,3.7,0.3,0,"2010"
"2335","Pourers and casters, metal","51-4052",14.2,54.5,21.7,5.6,3.7,0.3,0,"2010"
"2336","Model makers, metal and plastic","51-4061",7.2,31,26.9,14.9,16.5,3.5,0,"2010"
"2337","Patternmakers, metal and plastic","51-4062",7.2,31,26.9,14.9,16.5,3.5,0,"2010"
"2338","Foundry mold and coremakers","51-4071",19.2,51.5,22.3,4.8,2,0.2,0,"2010"
"2339","Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic","51-4072",19.2,51.5,22.3,4.8,2,0.2,0,"2010"
"2340","Multiple machine tool setters, operators, and tenders, metal and plastic","51-4081",21.3,49.5,19.9,5.2,3.6,0.3,0.1,"2010"
"2341","Tool and die makers","51-4111",6,42.3,34.8,13.2,3.4,0.3,0,"2010"
"2342","Welders, cutters, solderers, and brazers","51-4121",22.6,49.5,20.2,5.8,1.7,0.2,0.1,"2010"
"2343","Welding, soldering, and brazing machine setters, operators, and tenders","51-4122",22.6,49.5,20.2,5.8,1.7,0.2,0.1,"2010"
"2344","Heat treating equipment setters, operators, and tenders, metal and plastic","51-4191",13.6,50,25.9,4.3,5,0,1.2,"2010"
"2345","Layout workers, metal and plastic","51-4192",21.3,49.5,19.9,5.2,3.6,0.3,0.1,"2010"
"2346","Plating and coating machine setters, operators, and tenders, metal and plastic","51-4193",23.2,47.9,15.7,7.5,4.7,0.3,0.7,"2010"
"2347","Tool grinders, filers, and sharpeners","51-4194",16.2,53.4,20,5.8,2.8,0.7,1.1,"2010"
"2348","Metal workers and plastic workers, all other","51-4199",21.3,49.5,19.9,5.2,3.6,0.3,0.1,"2010"
"2349","Prepress technicians and workers","51-5111",7.3,32.7,30.8,9.5,18.1,1.4,0.3,"2010"
"2350","Printing press operators","51-5112",12.9,48.8,23.4,8.1,5.7,0.8,0.2,"2010"
"2351","Print binding and finishing workers","51-5113",13.2,52.1,20.5,6.1,7.1,0.4,0.6,"2010"
"2352","Laundry and dry-cleaning workers","51-6011",38.1,40.4,13.3,3.1,4.5,0.5,0.1,"2010"
"2353","Pressers, textile, garment, and related materials","51-6021",47.6,37,11,2.4,1.4,0.5,0,"2010"
"2354","Sewing machine operators","51-6031",43,37.7,11.9,3.1,3.5,0.6,0.1,"2010"
"2355","Shoe and leather workers and repairers","51-6041",25.1,38.6,17.3,6.2,10.4,1,1.3,"2010"
"2356","Shoe machine operators and tenders","51-6042",36.1,42,9.1,6.2,6.6,0,0,"2010"
"2357","Sewers, hand","51-6051",28.7,30.7,16.5,7.8,12.9,2.7,0.7,"2010"
"2358","Tailors, dressmakers, and custom sewers","51-6052",28.7,30.7,16.5,7.8,12.9,2.7,0.7,"2010"
"2359","Textile bleaching and dyeing machine operators and tenders","51-6061",31.4,45.2,16,0.7,4.8,1.1,0.8,"2010"
"2360","Textile cutting machine setters, operators, and tenders","51-6062",31.4,45.2,16,0.7,4.8,1.1,0.8,"2010"
"2361","Textile knitting and weaving machine setters, operators, and tenders","51-6063",29.6,50.4,13.9,2.4,3.7,0,0,"2010"
"2362","Textile winding, twisting, and drawing out machine setters, operators, and tenders","51-6064",37.9,45.4,14,1.6,0.7,0,0.4,"2010"
"2363","Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers","51-6091",23.8,35.7,18,7.5,13,1.6,0.4,"2010"
"2364","Fabric and apparel patternmakers","51-6092",23.8,35.7,18,7.5,13,1.6,0.4,"2010"
"2365","Upholsterers","51-6093",30.9,44.1,16.2,3.9,4.3,0.6,0,"2010"
"2366","Textile, apparel, and furnishings workers, all other","51-6099",23.8,35.7,18,7.5,13,1.6,0.4,"2010"
"2367","Cabinetmakers and bench carpenters","51-7011",18,47,21,5,7.4,1.2,0.4,"2010"
"2368","Furniture finishers","51-7021",26.9,39.1,23.5,3.7,5.2,1.1,0.4,"2010"
"2369","Model makers, wood","51-7031",19.2,40.6,19.1,6,12.1,2.7,0.3,"2010"
"2370","Patternmakers, wood","51-7032",19.2,40.6,19.1,6,12.1,2.7,0.3,"2010"
"2371","Sawing machine setters, operators, and tenders, wood","51-7041",38.1,44.2,11.4,3.2,1.8,1.1,0.1,"2010"
"2372","Woodworking machine setters, operators, and tenders, except sawing","51-7042",30.5,47,15.4,3.8,2.8,0.5,0,"2010"
"2373","Woodworkers, all other","51-7099",19.2,40.6,19.1,6,12.1,2.7,0.3,"2010"
"2374","Nuclear power reactor operators","51-8011",1.8,31.3,35.3,15.7,15,0.9,0.1,"2010"
"2375","Power distributors and dispatchers","51-8012",1.8,31.3,35.3,15.7,15,0.9,0.1,"2010"
"2376","Power plant operators","51-8013",1.8,31.3,35.3,15.7,15,0.9,0.1,"2010"
"2377","Stationary engineers and boiler operators","51-8021",7,38.7,30.9,11.5,8.9,2.5,0.5,"2010"
"2378","Water and wastewater treatment plant and system operators","51-8031",4.5,38.9,35.5,11.7,8.1,1.1,0.2,"2010"
"2379","Chemical plant and system operators","51-8091",5.6,43.5,31.3,10.9,8.1,0.5,0,"2010"
"2380","Gas plant operators","51-8092",5.6,43.5,31.3,10.9,8.1,0.5,0,"2010"
"2381","Petroleum pump system operators, refinery operators, and gaugers","51-8093",5.6,43.5,31.3,10.9,8.1,0.5,0,"2010"
"2382","Plant and system operators, all other","51-8099",5.6,43.5,31.3,10.9,8.1,0.5,0,"2010"
"2383","Chemical equipment operators and tenders","51-9011",6.7,38.4,25.2,10.7,15.6,3.1,0.3,"2010"
"2384","Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders","51-9012",6.7,38.4,25.2,10.7,15.6,3.1,0.3,"2010"
"2385","Crushing, grinding, and polishing machine setters, operators, and tenders","51-9021",21.9,48,19.7,4.6,4.8,0.8,0.1,"2010"
"2386","Grinding and polishing workers, hand","51-9022",21.9,48,19.7,4.6,4.8,0.8,0.1,"2010"
"2387","Mixing and blending machine setters, operators, and tenders","51-9023",21.9,48,19.7,4.6,4.8,0.8,0.1,"2010"
"2388","Cutters and trimmers, hand","51-9031",31.2,49.3,12.5,4.5,2.2,0.2,0,"2010"
"2389","Cutting and slicing machine setters, operators, and tenders","51-9032",31.2,49.3,12.5,4.5,2.2,0.2,0,"2010"
"2390","Extruding, forming, pressing, and compacting machine setters, operators, and tenders","51-9041",20.7,50.7,20.5,4.5,3.3,0,0.3,"2010"
"2391","Furnace, kiln, oven, drier, and kettle operators and tenders","51-9051",8.6,51.4,25.9,9.1,5.1,0,0,"2010"
"2392","Inspectors, testers, sorters, samplers, and weighers","51-9061",11.6,37.6,25.5,9.3,12.6,2.9,0.5,"2010"
